ID,title,authors,year,venue,url,paper_or_abstract,system_scope,heterogeneity,resource_types,workload_type,task_dependencies,dynamic_workload,addresses_mapping,addresses_scheduling,mapping_scheduling,solver_class,specific_method,algorithm_strategy,hybrid_approach,makespan,utilization,energy,cost,load_balance,throughput,latency,deadline,reliability,security,single_multi_obj,assignment,capacity,feature,precedence,communication,max_tasks,max_resources,eval_type,benchmark,baselines,reproducible,extraction_source,confidence,abstract_length,abstract_preview
83,Online multi-user workflow scheduling algorithm for fairness and energy optimization,"E Cadorel, H Coullon",2020.0,2020 20th IEEE/ACM …,https://ieeexplore.ieee.org/abstract/document/9139740/,paper,Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Dynamic/Adaptive,"Constructive/Priority, Population-based",N,Y,,Y,Y,Y,,,Y,Y,Y,Single,,Y,,N,Y,31.0,10.0,Real-system/Trace-based,"Montage, SPEC",Unknown,Unknown,full-text,high,183,"of scientific workflows are commonly heterogeneous in their libraries and  , high-performance  computing (HPC) and Grid computing have shown interest in scientific workflow scheduling"
84,Scheduling big data workflows in the cloud under deadline constraints,"M Ebrahimi, A Mohan, S Lu",2018.0,2018 IEEE Fourth International …,https://ieeexplore.ieee.org/abstract/document/8405689/,paper,Cloud/HPC,Hetero,VM,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/Metaheuristic,Unknown,"Constructive/Priority, Population-based",N,Y,Y,,Y,,,,Y,,,Single,,,Y,N,Y,Unknown,Unknown,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,180,In Section III we explain our workflow scheduling algorithm in  highperformance workflow  scheduling in a heterogeneous cloud  with more existing workflow scheduling algorithms. In
85,Two-Stage Workflow Scheduling Based on Deep Reinforcement Learning,"H Xu, H Zhang, J Wang, Y Wang, Y Guo",2024.0,EAI International …,https://link.springer.com/chapter/10.1007/978-3-031-93251-9_18,abstract,HPC,Hetero,Unknown,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,ML/AI,"DRL, RL",Learning-based,N,,Y,,,,,,,Y,,Multi,,,,N,,Unknown,Unknown,Simulation/Trace-based,SPEC,Unknown,Unknown,partial-abstract,low,187,"Thus, it offers a viable solution to the challenge of workflow scheduling in heterogeneous   -scale data processing and analysis, high-performance computing (HPC), artificial intelligence"
86,Hybrid JAYA algorithm for workflow scheduling in cloud,"SK Bothra, S Singhal, H Goyal",2023.0,Научно-технический вестник …,https://cyberleninka.ru/article/n/hybrid-jaya-algorithm-for-workflow-scheduling-in-cloud,paper,Cloud,Hetero,VM,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,Nature-inspired,"Constructive/Priority, Population-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,Y,,N,Y,1000.0,86.0,Simulation/Trace-based,"CloudSim, CyberShake, Inspiral, Montage, SIPHT, SPEC",Unknown,Unknown,full-text,high,174,the load among virtual machines in a heterogeneous environment using JAYA approach. In  this  time during workflow scheduling. We considered the heterogeneous cloud computing
87,A predictive energy consumption scheduling algorithm for multiprocessor heterogeneous system,"S Tian, W Ren, Q Deng, S Zou",2021.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9628181/,paper,Cloud/Edge/Fog/HPC,Hetero,CPU,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,ML/AI,ML,"Constructive/Priority, Population-based, Learning-based",N,Y,,Y,Y,,Y,Y,Y,Y,Y,Single,Y,,,N,,Unknown,64.0,Simulation/Trace-based,"SPEC, STG",Unknown,Unknown,full-text,high,179,"Multi-processor heterogeneous system has been widely used for handling parallel workflow  applications to advance the performance of system, in which efficient workflow scheduling"
88,Reliability enhancement strategies for workflow scheduling under energy consumption constraints in clouds,"L Zhang, M Ai, K Liu, J Chen, K Li",2023.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/10247559/,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/ML/AI/Metaheuristic,"ACO, DE, EFT, HEFT, Q-learning","Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,Y,,,N,Y,500.0,Unknown,Trace-based,SPEC,Unknown,Unknown,full-text,high,185,reliability management solution for parallel workflow scheduling in the system to meet   workflow scheduling problem for parallel applications with priority constraints in heterogeneous
89,Performance and energy balanced algorithm for executing high performance computing application,SS Kulkarni,2019.0,… International Conference on Smart Systems and …,https://ieeexplore.ieee.org/abstract/document/8987891/,paper,HPC,Hetero,"CPU, FPGA, GPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic/ML/AI/Metaheuristic/Quantum,"ACO, DE, GA","Constructive/Priority, Population-based, Learning-based, Quantum",N,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Single,,,,N,Y,Unknown,60.0,Real-system/Trace-based,"Inspiral, SPEC",Unknown,Unknown,partial-text,medium,179,"-based data-intensive and scientific workflow scheduling [19], [20] method for executing High  performance computing (HPC)  high performance computing application on heterogeneous"
90,Energy-aware Scheduling of Workflow Applications Towards Schedule Length Optimization in Heterogeneous Distributed Embedded Systems,"J Chen, Q Zhang, P Han, Y Zhang, Y Lu",2025.0,ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3767164,paper,Embedded,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Exact/Heuristic/ML/AI/Metaheuristic,"EFT, GA, HEFT, PSO","Constructive/Priority, Population-based, Learning-based, Mathematical",N,Y,,Y,Y,Y,,Y,Y,Y,Y,Multi,Y,,,N,Y,Unknown,64.0,Real-system/Simulation/Trace-based,"CyberShake, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,177,"heterogeneous embedded systems, and this expansion is transforming traditional embedded  systems into heterogeneous  is a critical concern for heterogeneous distributed embedded"
91,A heuristic approach for scheduling in heterogeneous distributed embedded systems,"S Prongnuch, S Sitjongsataporn",2020.0,International Journal of …,http://www.inass.org/2020/2020022913.pdf,paper,Embedded,Hetero,"CPU, FPGA, GPU",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Heuristic,"Constructive/Priority, Population-based",N,Y,Y,Y,,,,,,,Y,Multi,,,,N,Y,Unknown,16.0,Real-system/Simulation/Trace-based,"Random Graph, SPEC",Unknown,Unknown,full-text,high,176,heuristic approach for workflow scheduling in heterogeneous distributed embedded system  ( and growth of the heterogeneous systems used for high-performance computing have been
92,Multi-objective workflow optimization strategy (MOWOS) for cloud computing,"JK Konjaang, L Xu",2021.0,Journal of Cloud Computing,https://link.springer.com/article/10.1186/s13677-020-00219-1,paper,Cloud,Hetero,VM,Workflow/DAG,N,Dynamic,Y,Y,Joint,Metaheuristic,Multi-obj,"Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,Y,,N,Y,12.0,3.0,Simulation,"CloudSim, CyberShake, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC, WorkflowSim",RANDOM,Unknown,full-text,high,1592,"Workflow scheduling involves mapping large tasks onto cloud resources to improve scheduling efficiency. This has attracted the interest of many researchers, who devoted their time and resources to improve the performance of scheduling in cloud computing. However, scientific workflows are big data ap"
93,Energy efficient workflow scheduling in cloud computing systems using particle swarm optimization,"B Naik, P Kuila",2024.0,Proceedings of the International Conference on …,"https://www.atlantis-press.com/proceedings/sipcov-23/126003975
https://books.google.com/books?hl=en&lr=&id=ozMmEQAAQBAJ&oi=fnd&pg=PA266&dq=%22workflow+scheduling%22+heterogeneous+%22high+performance+computing%22&ots=9MGf1mNWmb&sig=FyqAQySkXu1Po-JhYrUYJVALMnM",paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,PSO,Population-based,N,Y,,Y,Y,Y,Y,,Y,Y,,Multi,,,,N,Y,10.0,Unknown,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,180,","" Cost and makespan aware workflow scheduling in iaas clouds  with multi-criteria for  highperformance computing systems: an  novel workflow scheduling for heterogeneous computing"
94,Reliability and energy efficient workflow scheduling in cloud environment,"R Garg, M Mittal, LH Son",2019.0,Cluster Computing,https://link.springer.com/article/10.1007/s10586-019-02911-7,paper,Cloud/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Exact/Heuristic/ML/AI/Metaheuristic,"CPOP, CloudSim, DE, EFT, HEFT","Constructive/Priority, Population-based, Learning-based, Mathematical",N,Y,,Y,Y,Y,,Y,Y,Y,Y,Multi,Y,,,N,Y,60.0,8.0,Simulation/Trace-based,"CloudSim, Random Graph, SPEC",Unknown,Unknown,full-text,high,179,popular workflow scheduling heuristics are: heterogeneous  two energy conscious workflow  scheduling algorithms using  efficient workflow scheduling (REEWS) in heterogeneous cloud
95,Ant colony optimization-based multi-objective task scheduling algorithm for supercomputing internet workflow,"P Fu, Z Wang, M Guo",2024.0,… on High Performance Computing and …,"https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13073/1307314/Ant-colony-optimization-based-multi-objective-task-scheduling-algorithm-for/10.1117/12.3026325.short
https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13073/1307314/Ant-colony-optimization-based-multi-objective-task-scheduling-algorithm-for/10.1117/12.3026325.short",abstract,HPC,Hetero,Unknown,Workflow/DAG,N,Unknown,Y,Y,Joint,Metaheuristic,"ACO, PSO",Population-based,N,Y,,,,Y,,,,,,Single,,Y,,N,,Unknown,Unknown,Simulation/Trace-based,SPEC,Unknown,Unknown,partial-abstract,low,176,A workflow scheduling method based on improved particle swarm optimization algorithm is   and sorts each particle using a heterogeneous earliest completion time mapping method.
96,Energy-aware task scheduling optimization with deep reinforcement learning for large-scale heterogeneous systems,"J Li, X Zhang, Z Wei, J Wei, Z Ji",2021.0,… on high performance computing,https://link.springer.com/article/10.1007/s42514-021-00083-8,paper,Cloud/HPC,Hetero,"CPU, GPU, VM",Batch,N,Dynamic,N,Y,Scheduling-only,ML/AI,"DRL, RL",Learning-based,N,Y,Y,Y,Y,,,Y,Y,,,Single,,,,N,Y,Unknown,1000.0,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,176,In high-performance computing centers or cloud data centers in different batches are  heterogeneous. Given the aforementioned  learning on heterogeneous resource management are
97,Deep Reinforcement Learning for Large-Scale Scientific Workflow Scheduling with Improved Structure Feature Extraction and Sampling,"X Qi, D Zhang, T Liu, H Wang",2024.0,IFIP International Conference on Network …,https://link.springer.com/chapter/10.1007/978-981-96-2830-8_24,abstract,Cloud/HPC,Hetero,Unknown,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic/ML/AI,"DRL, HEFT, RL",Greedy/Learning-based,Y,Y,,,,,,,Y,Y,,Single,,,,N,,Unknown,Unknown,Simulation/Trace-based,"Pegasus, SPEC",HEFT,Unknown,partial-abstract,low,187,"for users to obtain high-performance computing resources. Under  heterogeneous earliest  finish time algorithm (HEFT) [10], which is a classic heuristic algorithm for workflow scheduling,"
98,Lotaru: Locally estimating runtimes of scientific workflow tasks in heterogeneous clusters,"J Bader, F Lehmann, L Thamsen, J Will",2022.0,Proceedings of the 34th …,https://dl.acm.org/doi/abs/10.1145/3538712.3538739,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Dynamic/Adaptive,"Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,,Y,Y,Y,,Y,,Multi,,,,N,Y,87.0,2.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, Montage, Pegasus, SPEC",Unknown,Unknown,full-text,high,182,workflow scheduling algorithms need to be informed about task runtimes a-priori to conduct  efficient scheduling. In heterogeneous  in scientific workflows on heterogeneous clusters.
99,On scheduling of high-throughput scientific workflows under budget constraints in multi-cloud environments,"R Li, CQ Wu, A Hou, Y Wang, T Gao",2018.0,2018 IEEE Intl Conf on …,https://ieeexplore.ieee.org/abstract/document/8672237/,paper,Cloud/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Heuristic,Constructive/Priority,N,Y,Y,Y,Y,Y,Y,,Y,Y,,Multi,,,,N,Y,Unknown,Unknown,Real-system,"Pegasus, SPEC",Unknown,Unknown,full-text,high,179,We propose a heuristic streaming workflow scheduling algorithm (StreamWS) in a multi-  We plan to implement and test our workflow solution in production high-performance computing
100,Scheduling scientific workflow using multi-objective algorithm with fuzzy resource utilization in multi-cloud environment,"M Farid, R Latip, M Hussin, NAWA Hamid",2020.0,IEEE Access,https://ieeexplore.ieee.org/abstract/document/8976136/,paper,Cloud/HPC/Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,Multi-obj,"Constructive/Priority, Population-based",N,Y,Y,Y,Y,,,Y,Y,Y,Y,Multi,,Y,,N,Y,Unknown,6.0,Real-system/Simulation/Trace-based,"CyberShake, LIGO, Montage, SIPHT, SPEC",Unknown,Unknown,full-text,high,177,thus require high-performance computing machines provided  This section discusses the  problem of workflow scheduling in  based constrained workflow scheduling for heterogeneous
101,Task clustering-based energy-aware workflow scheduling in cloud environment,"A Choudhary, MC Govil, G Singh",2018.0,… High Performance …,https://ieeexplore.ieee.org/abstract/document/8622898/,paper,Cloud/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Clustering/Partitioning,"Constructive/Priority, Population-based",N,Y,Y,Y,,Y,,,Y,Y,,Multi,,,,N,Y,1000.0,30.0,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC, WorkflowSim",Unknown,Unknown,partial-text,medium,174,"CONCLUSION In this work, energy-aware Workflow scheduling algorithm has been  presented. In the Scientific applications, some of the task having minimum execution time merged"
102,3OTSO: Three-Objective Task Scheduling Optimization for CPU-GPU Heterogeneous Cloud Environments,"Y Ma, G Wang, H Song, Y Tian, G Tan",2025.0,… on Internet of Things and Cloud …,https://dl.acm.org/doi/abs/10.1145/3776865.3776925,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU,GPU",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic/ML/AI/Metaheuristic,"CloudSim, GWO, HEFT, MPEFT, PSO","Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Single,Y,,,N,Y,100.0,40.0,Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,169,With the rapid advancement of high-performance computing ap CPU-GPU-based  heterogeneous computing architectures as a crit Energy-aware scientific workflow scheduling in
103,An energy efficient algorithm for workflow scheduling in IAAS cloud,"V Singh, I Gupta, PK Jana",2020.0,Journal of Grid Computing,https://link.springer.com/article/10.1007/S10723-019-09490-2,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Constructive/Priority, Population-based, Quantum",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Single,,Y,,N,Y,3276.0,10.0,Real-system/Simulation/Trace-based,"CyberShake, Inspiral, LIGO, Montage, SIPHT, SPEC",Unknown,Unknown,full-text,high,182,"a workflow scheduling algorithm that  workflow scheduling which is a combination of two  other existing algorithms namely, chemical reaction optimization (CRO) [18] and heterogeneous"
104,Hybrid Programming-based Scheduling Approach for Many Heterogeneous Computing Tasks with Asynchronous Generation in IIoT,"B Hu, R Zhong, Y Wang, T Wang",2025.0,IEEE Internet of …,https://ieeexplore.ieee.org/abstract/document/10988625/,paper,Edge,Hetero,"CPU, GPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Hybrid,Hybrid,"Constructive/Priority, Population-based, Learning-based, Mathematical",N,Y,Y,Y,Y,,,Y,Y,Y,Y,Single,,,,N,,Unknown,Unknown,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,178,"research domains, including high-performance computing [19],  privacy-aware multiworkflow  scheduling in hybrid clouds by  algorithm (DCME) for workflow scheduling in multi-cloud"
105,A list-based heuristic algorithm for static task scheduling in heterogeneous distributed computing systems,"H Gholami, R Zakerian",2020.0,2020 6th international conference on …,https://ieeexplore.ieee.org/abstract/document/9122306/,paper,Cloud/HPC,Hetero,CPU,Workflow/DAG,Y,Static,N,Y,Scheduling-only,Heuristic,Heuristic,"Constructive/Priority, Population-based",N,Y,,,Y,,,,,,,Multi,Y,,,Y,Y,24.0,Unknown,Simulation/Trace-based,"Random Graph, SPEC",Unknown,Unknown,partial-text,medium,181,The problem addressed in this study is the static scheduling of a task graph on heterogeneous   In Section II the related works on list-based scheduling algorithms for heterogeneous
106,A Full-Path Priority Based Workflow Scheduling Approach,"WC Tseng, KY Rong, KC Huang",2025.0,… on High Performance Computing in …,https://dl.acm.org/doi/abs/10.1145/3712031.3712329,paper,Cloud/HPC,Hetero,CPU,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Priority,"Constructive/Priority, Population-based, Learning-based",N,Y,,,,,,Y,,,Y,Multi,,,,N,Y,10.0,10.0,Simulation/Trace-based,"CloudSim, Pegasus, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,182,"Ge, “IPPTS: an efficient algorithm for scientific workflow scheduling in heterogeneous  computing systems,” IEEE Transactions on Parallel and Distributed Systems, pp. 1057–1071, 2021"
107,Automated workflow scheduling in self-adaptive clouds,"G Kousalya, P Balakrishnan, CP Raj",2017.0,,https://link.springer.com/content/pdf/10.1007/978-3-319-56982-6.pdf,paper,Cloud,Unknown,Unknown,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Dynamic/Adaptive,"Constructive/Priority, Population-based, Learning-based",N,,Y,Y,Y,,Y,,Y,,Y,Single,,,,N,,Unknown,Unknown,Simulation,Unknown,Unknown,Unknown,full-text,high,180,"There is a heightened heterogeneity of cloud IT resources,  crafted to describe the  various workflow scheduling algorithms and  Many high-performance computing and high-throughput"
108,A novel scheduling with multi-criteria for high-performance computing systems: an improved genetic algorithm-based approach,"T Biswas, P Kuila, AK Ray",2019.0,Engineering with Computers,https://link.springer.com/article/10.1007/s00366-018-0676-5,paper,Cloud/HPC/Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Static,N,Y,Scheduling-only,Metaheuristic,GA,Population-based,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,,,N,,1200.0,4.0,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,180,"A PSO-based workflow scheduling is also presented in [25] by considering two objectives,  ie We have assumed that a system consists of a set of p number of heterogeneous high-speed"
109,k-Dispatch: Enabling Cost-Optimized Biomedical Workflow Offloading,"M Jaros, J Jaros",2024.0,Proceedings of the 33rd International Symposium on …,https://dl.acm.org/doi/abs/10.1145/3625549.3658828,paper,Cloud/Edge/Fog/HPC,Hetero,CPU,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,ML/AI/Metaheuristic,GA,"Population-based, Learning-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,,,N,Y,64.0,Unknown,Real-system/Simulation/Trace-based,"Pegasus, SPEC",Unknown,Unknown,partial-text,medium,179,to remote high-performance computing clusters or cloud. In  Workflow scheduling is a  complex and challenging problem. The execution of many tasks on distributed and heterogeneous
